HUC8,PROVINCE,SECTION
15020003,COLORADO PLATEAUS,DATIL
15020004,COLORADO PLATEAUS,NAVAJO
15010014,BASIN AND RANGE,MEXICAN HIGHLAND
15020001,COLORADO PLATEAUS,DATIL
15020005,COLORADO PLATEAUS,GRAND CANYON
15020009,COLORADO PLATEAUS,NAVAJO
15020010,COLORADO PLATEAUS,GRAND CANYON
15020012,COLORADO PLATEAUS,NAVAJO
15020014,COLORADO PLATEAUS,NAVAJO
15020015,COLORADO PLATEAUS,GRAND CANYON
15030202,BASIN AND RANGE,MEXICAN HIGHLAND
15030203,BASIN AND RANGE,MEXICAN HIGHLAND
15030204,BASIN AND RANGE,MEXICAN HIGHLAND
15040007,BASIN AND RANGE,MEXICAN HIGHLAND
15060101,BASIN AND RANGE,MEXICAN HIGHLAND
15060102,BASIN AND RANGE,MEXICAN HIGHLAND
15060103,BASIN AND RANGE,MEXICAN HIGHLAND
15060104,BASIN AND RANGE,MEXICAN HIGHLAND
15060105,BASIN AND RANGE,MEXICAN HIGHLAND
15070104,BASIN AND RANGE,SONORAN DESERT
14080204,COLORADO PLATEAUS,NAVAJO
15070102,BASIN AND RANGE,MEXICAN HIGHLAND
15070103,BASIN AND RANGE,SONORAN DESERT
15020013,COLORADO PLATEAUS,NAVAJO
15030103,BASIN AND RANGE,MEXICAN HIGHLAND
15030105,BASIN AND RANGE,SONORAN DESERT
15030106,BASIN AND RANGE,SONORAN DESERT
15040005,BASIN AND RANGE,MEXICAN HIGHLAND
15050100,BASIN AND RANGE,SONORAN DESERT
15050201,BASIN AND RANGE,MEXICAN HIGHLAND
15050203,BASIN AND RANGE,MEXICAN HIGHLAND
15050301,BASIN AND RANGE,SONORAN DESERT
15050302,BASIN AND RANGE,MEXICAN HIGHLAND
15050303,BASIN AND RANGE,SONORAN DESERT
15050304,BASIN AND RANGE,SONORAN DESERT
15050305,BASIN AND RANGE,SONORAN DESERT
15050306,BASIN AND RANGE,SONORAN DESERT
15060106,BASIN AND RANGE,SONORAN DESERT
15070101,BASIN AND RANGE,SONORAN DESERT
15070201,BASIN AND RANGE,SONORAN DESERT
15070202,BASIN AND RANGE,SONORAN DESERT
15070203,BASIN AND RANGE,SONORAN DESERT
15030107,BASIN AND RANGE,SALTON TROUGH
15030108,BASIN AND RANGE,SALTON TROUGH
15050202,BASIN AND RANGE,MEXICAN HIGHLAND
15080101,BASIN AND RANGE,SONORAN DESERT
15080102,BASIN AND RANGE,SONORAN DESERT
15080103,BASIN AND RANGE,SONORAN DESERT
15030101,BASIN AND RANGE,MEXICAN HIGHLAND
15080200,BASIN AND RANGE,SONORAN DESERT
15080301,BASIN AND RANGE,MEXICAN HIGHLAND
15040006,BASIN AND RANGE,MEXICAN HIGHLAND
15030104,BASIN AND RANGE,SONORAN DESERT
15040002,BASIN AND RANGE,MEXICAN HIGHLAND
15040003,BASIN AND RANGE,MEXICAN HIGHLAND
15080302,BASIN AND RANGE,MEXICAN HIGHLAND
15010002,COLORADO PLATEAUS,GRAND CANYON
15010004,COLORADO PLATEAUS,GRAND CANYON
15010007,BASIN AND RANGE,MEXICAN HIGHLAND
15010009,COLORADO PLATEAUS,GRAND CANYON
15020002,COLORADO PLATEAUS,DATIL
15020007,COLORADO PLATEAUS,NAVAJO
15020008,COLORADO PLATEAUS,GRAND CANYON
15020011,COLORADO PLATEAUS,NAVAJO
15020016,COLORADO PLATEAUS,GRAND CANYON
15020017,COLORADO PLATEAUS,NAVAJO
15020018,COLORADO PLATEAUS,NAVAJO
15030201,BASIN AND RANGE,MEXICAN HIGHLAND
15060201,COLORADO PLATEAUS,GRAND CANYON
15060202,BASIN AND RANGE,MEXICAN HIGHLAND
15020006,COLORADO PLATEAUS,NAVAJO
15040004,BASIN AND RANGE,MEXICAN HIGHLAND
15010005,COLORADO PLATEAUS,GRAND CANYON
15010006,COLORADO PLATEAUS,GRAND CANYON
14070006,COLORADO PLATEAUS,NAVAJO
14070007,COLORADO PLATEAUS,HIGH PLATEAUS OF UTAH
14080201,COLORADO PLATEAUS,NAVAJO
14080205,COLORADO PLATEAUS,NAVAJO
15010003,COLORADO PLATEAUS,GRAND CANYON
15060203,BASIN AND RANGE,MEXICAN HIGHLAND
14080106,COLORADO PLATEAUS,NAVAJO
14080105,COLORADO PLATEAUS,NAVAJO
15010010,BASIN AND RANGE,GREAT BASIN
15010001,COLORADO PLATEAUS,GRAND CANYON